source_id,target_id,year
101894,88661,2010
101894,88699,2010
101894,90011,2010
101894,92485,2010
101894,93124,2010
101894,94455,2010
101894,99524,2010
101894,99587,2010
101894,100358,2010
101894,101154,2010
101894,101772,2010
96701,90314,2010
96701,95603,2010
96701,95770,2010
96701,96238,2010
107043,91573,2010
107043,106865,2010
107043,106936,2010
97813,97652,2010
111197,104442,2010
111197,105463,2010
111197,105859,2010
117940,96668,2010
117940,110972,2010
117940,110990,2010
117940,112796,2010
105584,103257,2010
107413,103305,2010
107413,107014,2010
107413,107081,2010
96351,90155,2010
145660,87254,2010
145660,106701,2010
855517,96405,2013
121171,103870,2010
121171,112220,2010
121171,112779,2010
103903,89495,2010
103903,98733,2010
103903,100544,2010
103903,101380,2010
103903,103846,2010
102611,100544,2010
95984,88945,2010
95984,92938,2010
97110,94803,2010
97110,96392,2010
97110,96961,2010
101197,100180,2010
112241,103470,2010
112241,103979,2010
112241,110876,2010
110786,103017,2010
110786,107825,2010
110786,108319,2010
110786,109573,2010
110786,109728,2010
111894,107540,2010
103450,103276,2010
134723,118066,2010
625709,96405,2012
625709,103173,2012
90285,89725,2010
112611,108227,2010
112611,108773,2010
112611,111359,2010
93850,91284,2010
93850,92368,2010
122248,117937,2010
99948,98441,2010
109118,103451,2010
109118,104272,2010
109118,104897,2010
109118,105320,2010
103515,102715,2010
103515,103450,2010
92257,90964,2010
105838,104458,2010
105838,105336,2010
91882,89895,2010
112304,99461,2010
112304,103870,2010
112304,107167,2010
112304,107701,2010
112304,107900,2010
112304,108119,2010
112304,108857,2010
112304,109092,2010
112304,109505,2010
112304,112240,2010
109548,103734,2010
110293,109293,2010
110293,110227,2010
103145,96849,2010
103145,97576,2010
103145,101991,2010
93915,90196,2010
93915,92169,2010
101178,96170,2010
91928,87668,2010
91928,90251,2010
118359,118135,2010
118359,118206,2010
118359,118230,2010
112754,110293,2010
112754,112353,2010
112754,112666,2010
108709,91573,2010
108709,91894,2010
108709,96424,2010
108709,97541,2010
108709,101836,2010
108709,107262,2010
108709,107486,2010
108709,107487,2010
100339,97844,2010
102304,86428,2010
102304,88441,2010
102304,96741,2010
102304,96776,2010
94679,93939,2010
108359,86222,2010
108359,101704,2010
108359,107864,2010
103846,85496,2010
103846,85592,2010
103846,102040,2010
103846,102164,2010
103846,102830,2010
103846,103647,2010
103846,103811,2010
105091,99987,2010
105091,101440,2010
105091,103831,2010
102754,96805,2010
102754,99876,2010
102754,100552,2010
102754,101119,2010
102754,101991,2010
102754,102201,2010
100293,93187,2010
100293,94183,2010
100293,96079,2010
100293,96865,2010
100293,97347,2010
100293,97668,2010
100293,98288,2010
107556,104212,2010
107556,107393,2010
96214,90457,2010
94229,92781,2010
145725,118227,2010
101251,94161,2010
101251,99987,2010
101251,101180,2010
109661,103870,2010
109661,104546,2010
109661,105091,2010
109661,105116,2010
109661,105547,2010
109661,105746,2010
109661,106281,2010
109661,107235,2010
109661,107717,2010
109661,107900,2010
109661,108572,2010
109661,108857,2010
109661,109505,2010
109661,109568,2010
98123,96444,2010
110440,106281,2010
110440,108135,2010
110440,108380,2010
89732,89319,2010
94803,92539,2010
104053,100362,2010
104053,102954,2010
118070,105985,2010
102884,96936,2010
102884,100440,2010
102884,101436,2010
102884,102148,2010
102884,102369,2010
96994,93939,2010
96994,96500,2010
96994,96957,2010
101601,91400,2010
100913,100207,2010
98573,94835,2010
98573,95784,2010
98573,96805,2010
98573,97444,2010
118420,111904,2010
92484,89677,2010
104403,103369,2010
104403,103958,2010
137733,109860,2010
100440,100315,2010
112884,94291,2010
112884,108027,2010
112884,109031,2010
112884,110640,2010
112884,111729,2010
112884,111787,2010
112884,112294,2010
98820,93190,2010
98820,94947,2010
98820,95454,2010
98820,97311,2010
98820,98284,2010
98820,98441,2010
111251,104156,2010
111251,107886,2010
111251,109616,2010
111251,110773,2010
111251,111006,2010
218926,96405,2011
218926,106107,2011
218926,108302,2011
218926,108898,2011
218926,112450,2011
218926,117833,2011
102187,99231,2010
100010,90006,2010
100010,92867,2010
100010,94194,2010
100010,96023,2010
100010,96079,2010
100010,96296,2010
100010,96845,2010
90840,89677,2010
96097,95229,2010
99362,93489,2010
108420,99948,2010
108420,105896,2010
99698,93328,2010
93295,90088,2010
93295,92980,2010
92892,89143,2010
96582,95004,2010
102538,89876,2010
102538,96782,2010
102538,101945,2010
102538,1094516,2010
102538,2487561,2010
100505,91695,2010
100505,91705,2010
108135,91545,2010
108135,100708,2010
108135,103831,2010
108135,105547,2010
108135,106281,2010
98965,96686,2010
111744,101031,2010
111744,109026,2010
111744,109271,2010
111744,109836,2010
145119,104435,2010
145119,112076,2010
145119,118230,2010
96428,92534,2010
102492,94065,2010
102492,94546,2010
102492,95770,2010
102492,97014,2010
102492,100513,2010
102492,102095,2010
92938,88945,2010
102168,86845,2010
102168,87956,2010
102168,88363,2010
102168,94931,2010
102168,96501,2010
102168,100457,2010
107690,101912,2010
107690,103703,2010
107690,104550,2010
107690,106243,2010
107690,107254,2010
90905,89532,2010
90905,89641,2010
90905,90180,2010
100155,98302,2010
99227,99031,2010
112538,108088,2010
110505,107034,2010
110505,2399333,2010
104116,99460,2010
104116,99524,2010
104116,100987,2010
104116,102719,2010
104116,102884,2010
104116,103579,2010
104116,103915,2010
118135,87852,2010
118135,107795,2010
118135,107999,2010
118135,108772,2010
118135,112471,2010
118135,118011,2010
109724,109573,2010
112168,103597,2010
112168,106193,2010
112168,107486,2010
110155,108421,2010
110155,109821,2010
95204,88159,2010
95204,88661,2010
95204,91528,2010
95204,91573,2010
95204,92918,2010
95204,94835,2010
95204,94993,2010
104546,89027,2010
104546,103451,2010
104546,104442,2010
103283,101676,2010
103283,101729,2010
101744,93503,2010
103779,95301,2010
90006,89375,2010
100856,99071,2010
100856,99895,2010
98436,93562,2010
98436,97576,2010
112492,112450,2010
103016,85588,2010
103016,91676,2010
103016,92871,2010
103016,94269,2010
103016,94531,2010
103016,96243,2010
103016,99123,2010
103016,100912,2010
103016,102373,2010
103016,102955,2010
2510819,107039,2013
98359,97444,2010
111928,94091,2010
111928,95045,2010
111928,107014,2010
111928,107668,2010
111928,108115,2010
112607,105547,2010
112607,106281,2010
112607,107235,2010
112607,109661,2010
112607,110933,2010
97556,88637,2010
131167,108375,2010
104229,88343,2010
104229,89821,2010
104229,95550,2010
104229,99704,2010
104229,101991,2010
104229,103597,2010
104229,1087822,2010
134735,90682,2010
134735,103017,2010
134735,103962,2010
134735,105121,2010
134735,106127,2010
134735,106740,2010
134735,106961,2010
134735,108837,2010
134735,108857,2010
134735,110904,2010
134735,118027,2010
134735,2621075,2010
103446,101924,2010
103446,102779,2010
103446,102797,2010
111882,104546,2010
111882,109509,2010
111882,109513,2010
98709,94403,2010
98709,94655,2010
98709,96517,2010
110790,106127,2010
110790,106740,2010
110790,109102,2010
110790,109397,2010
110790,109505,2010
110790,109573,2010
110790,110698,2010
112257,108375,2010
112257,109860,2010
112257,111397,2010
112257,111953,2010
101181,87599,2010
101181,92739,2010
104679,104205,2010
106644,1088016,2010
107956,105160,2010
97106,92057,2010
97106,92522,2010
97106,93187,2010
94680,91322,2010
94680,92610,2010
91178,88698,2010
91178,88699,2010
91178,90600,2010
103915,91532,2010
103915,92743,2010
103915,99524,2010
103915,99790,2010
103915,100987,2010
103915,102369,2010
103915,102719,2010
103915,102884,2010
103915,103191,2010
103915,103579,2010
798255,107014,2012
798255,107038,2012
798255,112168,2012
798255,112257,2012
99548,92743,2010
99548,98334,2010
145676,104156,2010
145676,110641,2010
145676,112386,2010
96347,96043,2010
107405,103492,2010
107405,103893,2010
107405,105442,2010
105438,97433,2010
93515,89227,2010
93515,89378,2010
117956,102779,2010
117956,109436,2010
117956,112719,2010
117956,117848,2010
99118,95792,2010
95838,93574,2010
95838,94028,2010
96717,88661,2010
96717,96582,2010
145733,109067,2010
145733,137732,2010
100285,95789,2010
100285,95793,2010
107540,106388,2010
107540,107014,2010
105087,104442,2010
105087,104855,2010
102742,88904,2010
102742,102125,2010
103850,100122,2010
103850,100929,2010
103850,103368,2010
103850,103702,2010
93000,91600,2010
91197,90338,2010
94395,93368,2010
145699,109769,2010
145699,112934,2010
112742,110990,2010
112742,111251,2010
112742,111293,2010
112742,112105,2010
106351,99230,2010
101494,99753,2010
103153,101590,2010
103153,102807,2010
93903,93082,2010
93903,93671,2010
104696,88661,2010
104696,92743,2010
104696,100247,2010
104696,100476,2010
104696,104225,2010
104696,104253,2010
112312,104842,2010
112312,107669,2010
112312,107900,2010
2809767,96405,2015
2809767,111725,2015
2809767,182992,2015
106701,89159,2010
106701,96170,2010
106701,96557,2010
106701,97184,2010
106701,98932,2010
106701,2764117,2010
103503,101162,2010
105204,103493,2010
105204,104291,2010
105204,104814,2010
105204,105100,2010
107239,105287,2010
1694995,87720,2013
1694995,91705,2013
1694995,97425,2013
1694995,97687,2013
1694995,97976,2013
93283,91532,2010
93283,92743,2010
111617,91840,2010
111617,103186,2010
111617,109621,2010
111617,110509,2010
111617,110587,2010
110905,104907,2010
110905,110155,2010
110905,110712,2010
110905,110773,2010
93779,90362,2010
93779,91343,2010
93779,91953,2010
